"","logFC.groups2","logFC.groups3","logFC.groups4","logFC.groups5","logFC.groups6","logFC.groups7","logFC.groups8","logCPM","F","PValue","FDR","de"
"Adtrp",-7.61268502839148,-6.92637341478722,-6.22383761487746,-8.86026239777462,-12.4595379911407,-6.55230022902443,-8.83393188238277,0.913827407733601,56.0549459733819,1.31927323632022e-15,4.13264438214788e-14,"down"
"Akr1c14",-6.41712506094074,-5.16231470060374,-7.66768934818531,-6.87699556468029,-11.1347075674985,-6.06008975851088,-5.92453647790721,-0.351361672739885,15.9899126208281,3.03519275799459e-07,2.21922329935288e-06,"down"
"Edn1",-7.08325385017774,-4.78479471834542,-5.77245535399563,-7.37661794988203,-8.82245481394927,-8.82245481394927,-5.99569610525765,-2.44422443284403,16.2930703133593,1.67756587437733e-10,2.19240505651382e-09,"down"
"Sox17",-4.99455442256028,-5.41882696240995,-8.19208221924303,-7.67585840291767,-10.0005667554672,-5.61154267718085,-5.71999526172586,-1.4179682410518,17.3307913584621,2.66448594233158e-10,3.36983702475518e-09,"down"
"Csf2rb",-5.72354750123716,-4.38019167815255,-8.221000085296,-8.221000085296,-8.221000085296,-5.97639173763654,-6.30394905920205,-2.88340484098808,13.5926477998208,5.78710341800738e-09,5.78525825459874e-08,"down"
"Adra1a",-8.96484356498165,-6.20811842862116,-6.17967157759766,-3.22193172619286,-11.9512905889947,-5.18289840159534,-5.31418777953583,0.66942081780883,32.6798501052977,4.20041143040017e-12,7.24698644031167e-11,"down"
"Gm26512",-7.73100690396559,-6.84707092576544,-5.96051080178964,-7.24107508780955,-6.32915816509005,-3.9479261610783,-8.80713799062035,-0.744671839623806,14.2709908601397,2.43545173539991e-07,1.81574351280172e-06,"down"
"Bhmt2",-8.61719941621237,-6.45401724272285,-6.3202120486999,-3.57225771151989,-10.3478221118725,-5.73855654887778,-5.70916563873285,-0.934633687854069,12.7386357303554,8.18940507388234e-07,5.51756967363016e-06,"down"
"Mpzl2",-6.89891187949084,-6.89891187949084,-5.25528645354804,-6.89891187949084,-6.89891187949084,-6.89891187949084,-6.89891187949084,-3.74249133036911,8.95939657905395,2.59741686081526e-06,1.58749441985925e-05,"down"
"Dmgdh",-8.19954227387726,-7.49943938460018,-8.14094330751361,-2.10919671029529,-9.94180597822208,-5.28796513977322,-5.34535979392016,-1.05823290617618,24.8934721329974,7.50095450121946e-14,1.73624442813797e-12,"down"
"Kremen2",7.17300962887902,5.50184682545257,5.52490542515785,6.50264967337957,4.78929052213113,4.42511890043735,7.29267748223252,-2.06420304196406,3.8701526234724,0.0020870050342092,0.00678916399026988,"up"
"Cndp1",7.00827772119314,7.24782551760354,5.04842475853014,5.11366659491341,7.1868174833948,3.80110017599771,4.31543884308368,-2.10398922214087,5.06215884006171,0.00024267900185503,0.000989332871746825,"up"
"Piwil4",3.86767709585299,6.93740682726005,4.96950657706116,2.13354772414118,3.48548818828856,7.39123764039028,4.96600852794541,-2.56279807655974,4.96553277379698,0.000424427037387015,0.00163572064950729,"up"
"A630031M04Rik",1.97017719424932,4.47518359822937,2.98179852889561,3.45448682585359,5.8645088962186,8.03434712693872,6.39876647372732,-0.609187549500901,13.0507504392937,1.16242629185749e-08,1.1038249003269e-07,"up"
"Slamf8",1.80365364137818,5.33705818298055,5.74599194754509,2.81475023066456,5.47576406717752,7.58314797896204,4.17035301612947,-2.76307381659124,5.46788800999363,0.000120474617964583,0.000527625282410224,"up"
"Tmod4",4.28509547921907,4.76640247720136,5.95291979225575,6.12305272946952,4.13918883857954,2.24432774056377,4.86844027762829,-2.92187320645577,2.74584618996293,0.017743442044124,0.0452963414255953,"up"
"Wfdc6a",7.16535994012624,5.31357359312727,3.04173021219951,1.46764098762195,5.17931003758255,5.38001016356549,3.1029529077008,-2.89765644784044,5.46150640751962,0.000121793421532309,0.000532792150586987,"up"
"Gm17057",2.46908768973155,5.67303493014238,3.57949208863843,4.97167829025661,7.80677222981769,3.05004301370771,1.91826648113654,-2.56270339449804,7.94279364924511,2.36960061247811e-06,1.45963842692905e-05,"up"
"Tat",5.61111641103012,1.71006853083242,1.65895205709217,5.82130863253524,5.29884837048789,4.16231809118216,4.92983869653115,-3.09872775557756,3.02595177758914,0.0104855140650408,0.0284864036698851,"up"
"Phf11a",2.98688234589238,5.36318879127235,4.36885017360697,3.05295325538885,4.73475829180494,2.24157209383701,6.22310338269728,-3.28780073285237,2.81489697526605,0.0155262722945612,0.0402590485803415,"up"
"Sucnr1",-4.86373360661741,-2.39578450345589,-3.09179678780143,-3.43067270274047,-4.86373360661741,-2.62976676064612,-4.86373360661741,-4.13338396073794,2.68584600547993,0.0211078488708398,0.0528025386020449,"down"
"Ntrk2",-4.66865520570884,-2.08919496120159,-1.76249360584081,-0.229266055043089,-2.58334281721088,-2.24205276441711,-1.2700804202729,7.86964474907387,89.0544176509515,9.15424876187641e-26,3.25485449018923e-23,"down"
