""	"Media_FC"
"Kremen2"	5.88707120823857
"Cndp1"	5.6745072992452
"Piwil4"	4.82155322584852
"A630031M04Rik"	4.7398955205875
"Slamf8"	4.70438843783392
"Tmod4"	4.62563247641676
"Wfdc6a"	4.37865397741769
"Gm17057"	4.20976781763299
"Tat"	4.17035011281302
"Phf11a"	4.13875833349997
"Aoah"	4.13213190993235
"Klra2"	4.1062337108288
"Gm11935"	4.08893485923014
"Gm6723"	4.06514719078226
"Gm12722"	4.04087709033482
"Npy4r"	4.00914882606807
"Gm16090"	3.85485565323346
"A830009L08Rik"	3.83843402497676
"Ulbp1"	3.81740654537078
"Alox12b"	3.80287958210378
"Dctd"	3.75423901756122
"S100a3"	3.73358559522039
"Gm12454"	3.70487590801878
"Yipf7"	3.52583726690925
"Lrrc15"	3.50365637920967
"4930426L09Rik"	3.35243286426116
"Pck1"	3.30884151249996
"Dppa2"	3.16068411436871
"Rps11-ps1"	3.07196532455551
"Alpk3"	3.00797244196368
"Nlrp3"	3.00712426606249
"1500009C09Rik"	2.99659679124568
"Car9"	2.93426487681583
"Gm11424"	2.87586330137326
"Wfdc6b"	2.87378570639694
"Gm2824"	2.84744240172472
"Tnnt1"	2.70619033891745
"H2bc11"	2.66686274727004
"Gm12576"	2.5301988767344
"Hrh1"	2.35107677228972
"C130046K22Rik"	2.34029746708001
"Ccrl2"	2.29887882563688
"Mexis"	2.25561481863747
"Sdcbp2"	2.22754533760644
"Egf"	2.10732164988083
"Abca17"	2.09332624579554
"Slc29a4"	2.08944720248519
"Lrrtm3"	1.85399431390512
"H2-M3"	1.78558971457188
"Dpp6"	1.76856209731469
"Oasl2"	1.76467132597299
"Ror2"	1.62240979918205
"Inafm2"	1.62070726930637
"Oasl1"	1.60427282535667
"Pigh"	1.55533631983821
"Chst15"	1.5157538101578
"E430024P14Rik"	1.51151715591171
"Clvs1"	1.46504625577028
"Mctp2"	1.41429222036766
"Upp2"	1.38426848588484
"Hap1"	1.36118801404204
"Med12l"	1.28383550472863
"Sh3gl3"	1.27696660794216
"Slc40a1"	1.26971696789388
"Kcnb2"	1.25624157535693
"Brms1"	1.18523757391758
"Rpl7a"	1.18305383894303
"Ifi27"	1.15622723455599
"Cryl1"	1.13403216932505
"Cdk20"	1.07862428778531
"Polh"	1.06190704064812
"Oma1"	1.05255123889995
"Nin"	1.03896561102253
"Ppm1f"	1.02628968699449
"Ccdc171"	1.00055385845759
"Acvr1"	0.97415401434558
"Lsm11"	0.962965568386571
"Rnf32"	0.951403239670653
"Gpsm1"	0.942550332861689
"Ero1b"	0.942020222286236
"Coil"	0.835802099760332
"Gpsm2"	0.833990527627264
"Stim2"	0.797908210228306
"Sap130"	0.786646252213474
"Fbxw8"	0.775252802710259
"Ints7"	0.751408383970288
