"","P-Value","Avg_LogFC","Pct-Paclitaxel","Pct-Controle","P-Value_Ajd"
"Armt1",2.41152425961833e-08,0.541441748560073,0.394,0.142,0.000535744229516809
"Tuba1a",5.92190563845516e-08,-0.402989846320355,1,0.989,0.0013156105566392
"Atp1a1",9.03055167881939e-07,-0.428542718391376,0.947,0.983,0.0200622736096652
"Tagln2",9.40744677303907e-06,-0.381894414344161,0.298,0.561,0.208995837509836
"Edil3",1.22355041477932e-05,0.322569353766144,0.479,0.246,0.271823960147374
"Rap1gap2",2.55205993077269e-05,0.313478299445813,0.564,0.332,0.566965634220462
"Armcx3",3.96557328273789e-05,0.337908929825639,0.426,0.221,0.88099176049305
"Prnp",4.2317484314254e-05,-0.388113899805092,0.479,0.69,0.940125231525468
"mt-Cytb",5.24137426782879e-05,0.446899337075264,0.606,0.391,1
"S100a6",5.87712417567826e-05,-0.367390080771556,0.181,0.397,1
"Lgals1",7.81486992849652e-05,-0.281785267898893,0.064,0.249,1
"Zc3hc1",0.000105095988809406,-0.506725626001471,0.106,0.296,1
"mt-Co1",0.000105787525999165,0.505774604054888,0.777,0.617,1
"Clstn2",0.000111209742096278,0.298564380860406,0.415,0.226,1
"Hspa8",0.000150993066303873,-0.313167714188138,0.617,0.83,1
"Nedd4",0.000163439239867988,0.31575173712305,0.532,0.335,1
"Atp5g3",0.000211171427787053,-0.333807480247175,0.415,0.589,1
"Rbms1",0.000221547363132365,0.32154434836538,0.649,0.45,1
"Snrpn",0.000230405568101072,0.272685980862328,0.926,0.774,1
"Camta1",0.000240060607338007,0.349760412620315,0.777,0.654,1
"Plekhb2",0.000270305676732832,0.295076875237931,0.564,0.355,1
"Rgs7bp",0.000412779984836684,0.28583745120095,0.894,0.816,1
"Cacnb4",0.000434155943696567,0.342109540161789,0.681,0.52,1
"S100b",0.000439412748610833,-0.334753820091464,0.745,0.844,1
"Txn1",0.000488553014125558,-0.320080497135663,0.16,0.335,1
"Scg5",0.00052216593453699,-0.270542586789158,0.064,0.221,1
"Rpl31",0.000534509561058102,-0.256963130218477,0.043,0.187,1
"Jak1",0.000535505721453347,0.347181908247757,0.436,0.277,1
"Rian",0.000719345316754967,0.354012401417025,0.553,0.388,1
"Rab6a",0.000744179015991708,0.291656998659326,0.904,0.849,1
"Tubb2a",0.000751983942809691,-0.38265916791512,0.553,0.668,1
"Cdk5r2",0.000887485395330231,-0.30318425157482,0.266,0.444,1
"Selenof",0.000906643861463962,0.250678017645735,0.681,0.472,1
"Meg3",0.00104277160192767,0.4387352477225,0.574,0.394,1
"Ywhag",0.00124672217881402,0.301508312951158,0.989,0.922,1
"Rpl38",0.00126969494412782,-0.263418152355777,0.096,0.249,1
"Eml2",0.00141359444754876,0.312728851432356,0.553,0.388,1
"Kif5c",0.001537628422034,-0.297093336566712,0.787,0.844,1
"Ctsd",0.00168897607568217,-0.311401067198895,0.426,0.57,1
"Pebp1",0.0017896290968763,-0.267380118508199,0.234,0.411,1
"Dnajb14",0.00206953559971335,0.316887985934158,0.532,0.391,1
"Tspyl1",0.0022556339568272,0.25937552727895,0.447,0.288,1
"Mbnl2",0.00234016342382988,0.260083337935066,0.745,0.581,1
"Thy1",0.00259112866403271,0.277877027531561,0.883,0.83,1
"Scn7a",0.00279965441741645,0.273875096974065,0.83,0.757,1
"Atp5b",0.00284870145177841,-0.310443487181664,0.511,0.648,1
"Ccser2",0.00299236219234257,0.260757860544294,0.574,0.411,1
"Ank2",0.00407615457228376,-0.258731998685955,0.883,0.891,1
"mt-Nd4",0.00414122949368103,0.303530633753756,0.702,0.559,1
"Cacna1h",0.00424676628714278,-0.278368493821748,0.287,0.43,1
"Kcnh7",0.00462149318720464,0.293945471549904,0.702,0.573,1
"Glg1",0.00509633816804999,-0.312764673199172,0.404,0.531,1
"Nefl",0.00634496078452429,-0.254195860914852,0.979,0.964,1
"Rtn4",0.00680876536504393,0.287393048325577,0.734,0.628,1
"mt-Co2",0.00737357311592858,0.301578025763913,0.521,0.383,1
"Prph",0.00843447909798188,-0.256708848594945,0.755,0.807,1
"Grina",0.00862694828649214,-0.274237186435403,0.372,0.497,1
"Zwint",0.00931130953460318,0.290522201459125,0.606,0.514,1
"Mapt",0.0102263399006253,-0.311450848777579,0.574,0.662,1
"Nrn1",0.0106891640932187,-0.266252834059804,0.404,0.531,1
"Tcf25",0.0131753715921262,-0.267753076576815,0.394,0.492,1
"Tubb4b",0.0189749344956292,-0.2867506561864,0.489,0.595,1
"Ap1ar",0.0264978280928909,0.280004226062079,0.415,0.327,1
